time,T,Po,P,Pa,U,DD,Ff,RRR,ff3,tR,Td,VV,Tx,Tn
25.07.2021 23:00,26.2,742.5,751.9,0.5,100,2.1,1,0,0,12,26.2,17.0,34.0,22.8
25.07.2021 20:00,30.5,742.0,751.4,0.3,62,2,1,0,6,12,22.4,26.0,34.0,22.8
25.07.2021 17:00,33.4,741.7,751.1,-1.2,51,2.9,2,0,5,12,21.9,25.0,34.0,22.8
25.07.2021 14:00,32.6,742.9,752.4,-1.5,52,3,2,0,5,12,21.5,19.0,32.9,22.8
25.07.2021 11:00,30.4,744.4,754.0,-0.4,64,2,2,0,4,12,22.8,16.0,32.9,22.8
25.07.2021 08:00,28.2,744.8,754.3,0.0,97,2.9,1,0,4,12,27.7,9.0,32.9,22.8
25.07.2021 05:00,23.0,744.8,754.3,-0.1,100,3.9,1,0,5,12,23.0,4.0,32.9,22.8
25.07.2021 02:00,23.9,744.9,754.3,-0.4,100,3.5,0,0,5,12,23.9,9.0,32.9,23.7
24.07.2021 23:00,24.9,745.3,754.8,0.9,100,0,0,0,0,12,24.9,16.0,32.9,23.9
24.07.2021 20:00,29.2,744.4,754.0,0.1,67,2.1,1,0,5,12,22.4,30.0,32.9,23.9
24.07.2021 17:00,31.6,744.3,753.7,-1.0,58,2.1,2,0,5,12,22.3,27.0,32.9,23.9
24.07.2021 14:00,32.4,745.3,754.7,-1.3,60,2,2,0,0,12,23.6,21.0,32.4,23.9
24.07.2021 11:00,30.1,746.6,756.1,0.0,77,1.5,1,0,4,12,25.6,11.0,30.2,23.9
24.07.2021 08:00,25.7,746.6,756.2,0.5,100,1.1,1,0,0,12,25.7,19.0,27.7,23.9
24.07.2021 05:00,24.0,746.1,755.7,-0.1,100,4.1,1,0,3,12,24.0,6.0,27.7,23.8
24.07.2021 02:00,24.6,746.2,755.8,-0.3,100,2.1,1,0,4,12,24.6,3.5,27.7,23.8
23.07.2021 23:00,25.4,746.5,756.1,0.6,100,5,0,0,5,12,25.4,2.7,27.7,23.8
23.07.2021 20:00,26.5,745.9,755.5,0.3,100,4.1,1,0,6,12,26.5,3.9,27.7,23.8
23.07.2021 17:00,27.6,745.6,755.2,-1.1,92,1.1,2,0,6,12,26.2,5.0,27.9,23.8
23.07.2021 14:00,25.3,746.7,756.3,-0.6,100,1.1,2,0.1,7,12,25.3,5.0,0.0,23.8
23.07.2021 11:00,24.3,747.3,756.9,0.3,100,1.1,2,0.1,7,12,24.3,4.2,0.0,23.8
23.07.2021 08:00,24.2,747.0,756.6,0.5,100,1.9,2,0.1,7,12,24.2,3.6,28.5,23.8
23.07.2021 05:00,23.9,746.5,756.1,-0.2,100,1.5,2,0.1,7,12,23.9,3.1,28.5,23.9
23.07.2021 02:00,24.4,746.7,756.3,-0.4,100,1.5,2,0,7,12,24.4,3.4,28.5,23.8
22.07.2021 23:00,25.1,747.1,756.7,0.8,100,1.5,2,0,7,12,25.1,4.3,28.5,23.8
22.07.2021 20:00,26.2,746.3,755.9,0.8,100,1.5,2,0,7,12,26.2,7.0,28.5,23.8
22.07.2021 17:00,27.8,745.5,755.0,-0.5,84,2,3,8,7,12,24.8,12.0,28.5,23.8
22.07.2021 14:00,28.2,746.0,755.5,-0.2,88,2,3,20,7,12,26.0,16.0,28.4,23.8
22.07.2021 11:00,26.7,746.2,755.8,0.5,100,2,2,22,0,12,26.7,15.0,27.4,23.8
22.07.2021 08:00,24.7,745.7,755.3,0.7,100,2.5,2,27,8,12,24.7,6.0,0.0,23.6
22.07.2021 05:00,24.2,745.0,754.6,-0.5,100,2.5,1,25,11,12,24.2,1.5,27.4,23.6
22.07.2021 02:00,23.9,745.5,755.1,-1.0,100,2,1,12,11,12,23.9,6.0,27.4,23.4
21.07.2021 23:00,24.0,746.5,756.1,1.1,100,2.1,1,10,11,12,24.0,9.0,27.4,23.3
21.07.2021 20:00,24.2,745.4,755.0,0.4,100,3,4,18,11,12,24.2,5.0,27.4,22.7
21.07.2021 17:00,27.1,745.0,754.6,-0.2,100,2.1,1,26,7,12,27.1,7.0,27.4,22.7
21.07.2021 14:00,26.9,745.2,754.8,-0.7,100,2.1,2,69,9,12,26.9,26.0,26.9,22.7
21.07.2021 11:00,24.5,745.9,755.5,-0.1,100,2.1,2,97,9,12,24.5,13.0,25.4,22.7
21.07.2021 08:00,23.7,746.0,755.7,0.8,100,2.1,3,158,9,12,23.7,7.0,25.4,22.7
21.07.2021 05:00,23.7,745.2,754.8,-0.6,100,2,4,0,10,0,23.7,3.2,0.0,22.7
21.07.2021 02:00,23.5,745.8,755.5,-0.7,100,2,2,0,14,0,23.5,1.8,0.0,22.7
20.07.2021 23:00,23.3,746.5,756.1,0.3,100,2,2,0,14,0,23.3,1.2,25.4,22.7
20.07.2021 20:00,22.8,746.2,755.9,0.5,100,5,2,0,14,0,22.8,2.8,25.7,22.7
20.07.2021 17:00,23.4,745.7,755.4,0.7,100,5,4,0,14,0,23.4,0.7,25.8,23.4
20.07.2021 14:00,23.6,745.0,754.6,-1.1,100,1.9,2,146,9,12,23.6,2.9,25.8,23.5
20.07.2021 11:00,24.3,746.1,755.7,-0.1,100,2,4,105,9,12,24.3,3.3,25.8,23.5
20.07.2021 08:00,24.4,746.2,755.8,0.3,100,2,3,87,8,12,24.4,3.1,25.8,23.5
20.07.2021 05:00,23.7,745.9,755.5,-0.1,100,2,2,57,8,12,23.7,1.6,25.8,23.6
20.07.2021 02:00,24.2,746.0,755.6,-0.3,100,2,2,43,8,12,24.2,4.5,25.8,24.2
19.07.2021 23:00,25.1,746.3,755.9,0.4,100,1.9,3,42,8,12,25.1,2.1,25.8,24.4
19.07.2021 20:00,25.7,745.9,755.5,0.7,100,1.5,1,21,7,12,25.7,2.3,26.5,24.4
19.07.2021 17:00,24.5,745.2,754.8,-0.5,100,1.1,1,17,7,12,24.5,9.0,0.0,24.4
19.07.2021 14:00,24.8,745.7,755.3,-0.6,100,1.5,1,11,6,12,24.8,0.9,0.0,24.7
19.07.2021 11:00,25.7,746.3,755.9,0.4,100,2,2,12,6,12,25.7,4.0,0.0,24.7
19.07.2021 08:00,25.4,745.9,755.5,1.1,100,1.9,2,38,6,12,25.4,4.4,28.0,24.7
19.07.2021 05:00,24.7,744.8,754.3,-0.2,100,1.9,2,37,7,12,24.7,4.8,28.0,24.3
19.07.2021 02:00,25.0,745.0,754.5,-0.7,100,1.9,1,37,7,12,25.0,2.7,28.0,24.3
18.07.2021 23:00,25.0,745.7,755.3,0.7,100,1.5,2,29,7,12,25.0,3.6,28.0,24.3
18.07.2021 20:00,26.3,745.0,754.6,1.0,100,1.5,2,0,7,12,26.3,10.0,28.0,24.3
18.07.2021 17:00,27.7,744.0,753.5,-0.4,93,1.1,3,3,7,12,26.5,11.0,29.8,24.3
18.07.2021 14:00,26.9,744.4,753.9,-0.7,100,1.9,2,3,7,12,26.9,7.0,30.7,24.3
18.07.2021 11:00,26.7,745.1,754.6,0.3,100,2,2,3,6,12,26.7,7.0,0.0,24.3
18.07.2021 08:00,24.7,744.8,754.3,0.8,100,2,2,3,7,12,24.7,6.0,30.7,24.3
18.07.2021 05:00,25.0,744.0,753.5,-0.1,100,1.9,2,0,7,12,25.0,9.0,30.7,24.8
18.07.2021 02:00,25.5,744.1,753.6,-0.9,100,1.9,1,0,7,12,25.5,7.0,30.7,25.5
17.07.2021 23:00,26.0,745.0,754.6,1.4,97,1.5,3,0,8,12,25.5,11.0,30.7,25.9
17.07.2021 20:00,27.4,743.6,753.1,0.3,82,1.5,2,0,9,12,24.1,20.0,30.7,25.9
17.07.2021 17:00,29.8,743.3,752.8,-0.6,66,1.9,2,0,9,12,22.8,21.0,31.3,25.9
17.07.2021 14:00,30.4,743.9,753.4,-1.2,68,1.1,3,0,9,12,23.8,11.0,31.6,25.9
17.07.2021 11:00,28.4,745.1,754.6,-0.3,80,1.9,4,0,9,12,24.6,12.0,31.6,25.9
17.07.2021 08:00,27.7,745.4,754.9,0.5,91,1.1,2,0,6,12,26.1,7.0,31.6,25.9
17.07.2021 05:00,26.1,744.9,754.3,-0.3,100,1.5,2,0,6,12,26.1,6.0,31.6,26.0
17.07.2021 02:00,26.9,745.2,754.6,-0.6,96,5,3,0,6,12,26.2,15.0,31.6,26.9
16.07.2021 23:00,29.5,745.8,755.2,0.7,74,1.5,2,0.1,8,12,24.4,13.0,31.6,27.4
16.07.2021 20:00,30.2,745.1,754.6,0.4,72,2,1,0.1,8,12,24.6,12.0,31.6,27.4
16.07.2021 17:00,31.2,744.7,754.2,-0.9,72,2.1,2,0.1,8,12,25.5,10.0,33.1,27.4
16.07.2021 14:00,29.7,745.6,755.1,-1.1,85,2.1,3,0.1,8,12,26.9,8.0,34.2,27.4
16.07.2021 11:00,31.2,746.7,756.1,-0.1,70,1.1,2,0,7,12,25.1,7.0,34.2,27.4
16.07.2021 08:00,28.4,746.8,756.2,0.6,98,1.9,3,0,7,12,28.1,6.0,34.2,27.4
16.07.2021 05:00,27.8,746.2,755.7,0.5,98,5,2,0,6,12,27.5,11.0,34.2,25.1
16.07.2021 02:00,27.5,745.7,755.2,-0.2,100,4,1,0,7,12,27.5,18.0,34.2,25.0
15.07.2021 23:00,29.0,745.9,755.4,0.4,83,3.1,2,0,7,12,25.8,26.0,34.2,25.0
15.07.2021 20:00,30.2,745.5,754.9,1.4,77,2.1,2,0,7,12,25.7,29.0,34.2,24.8
15.07.2021 17:00,33.2,744.1,753.5,-0.8,56,2.9,2,0,7,12,23.2,30.0,37.4,24.8
15.07.2021 14:00,33.4,744.9,754.3,-0.7,55,2.5,3,0,0,12,23.1,30.0,38.4,24.8
15.07.2021 11:00,32.2,745.6,755.0,0.3,55,1.9,2,0,7,12,22.0,30.0,38.4,24.8
15.07.2021 08:00,28.1,745.3,754.9,1.3,80,2.1,2,26,10,12,24.3,30.0,0.0,24.8
15.07.2021 05:00,25.1,744.0,753.4,0.7,100,1.1,1,31,11,12,25.1,25.0,38.4,24.8
15.07.2021 02:00,25.8,743.3,752.7,-0.2,100,1.5,1,31,11,12,25.8,30.0,38.4,24.8
